height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards
189.0,82.0,0.0,157,60,45,52,1,17,0,1
177.0,71.0,0.0,276,81,84,111,7,41,0,0
173.0,70.0,0.875,197,61,46,90,28,16,0,0
180.0,66.0,0.125,264,105,73,86,28,37,0,0
185.0,73.0,0.0,289,182,47,60,17,70,0,0
188.0,82.0,0.0,276,129,73,74,12,74,5,2
199.0,77.0,0.25,390,181,97,112,7,41,1,1
175.0,69.0,0.0,224,71,55,98,3,18,0,1
170.0,67.0,0.25,450,275,77,98,82,44,1,2
191.0,84.0,0.0,108,43,21,44,0,4,0,0
175.0,69.0,0.25,553,339,107,107,281,62,2,5
194.0,88.0,0.75,211,78,51,82,0,7,0,1
187.0,77.0,0.125,171,80,38,53,1,13,0,0
182.0,74.0,1.0,111,62,21,28,23,14,0,1
190.0,82.0,0.0,248,136,46,66,0,6,0,0
182.0,82.0,0.25,174,58,45,71,6,34,0,0
175.0,68.0,0.375,371,140,97,134,63,81,1,3
180.0,76.0,0.125,206,83,53,70,27,38,0,1
178.0,72.0,0.125,58,18,15,25,4,7,1,0
183.0,80.0,0.125,401,151,89,161,20,77,3,0
188.0,84.0,0.0,213,110,49,54,12,39,5,2
190.0,82.0,1.0,245,114,60,71,98,15,0,1
184.0,85.0,0.5,320,141,77,102,20,50,0,0
188.0,79.0,0.25,167,55,39,73,2,24,0,0
184.0,81.0,0.0,194,67,51,76,5,24,0,2
174.0,74.0,1.0,223,99,50,74,60,26,1,1
173.0,73.0,0.25,400,197,86,117,109,83,1,1
188.0,85.0,0.375,233,81,62,90,0,25,0,1
194.0,89.0,0.25,371,157,87,127,0,20,0,2
161.0,60.0,0.25,193,65,52,76,33,48,0,1
174.0,67.0,0.25,200,63,48,89,38,30,1,0
184.0,83.0,0.25,365,136,101,128,31,76,6,4
177.0,74.0,0.25,127,79,23,25,7,5,0,0
189.0,81.0,0.25,232,113,53,66,93,68,1,4
185.0,75.0,0.25,359,190,79,90,19,76,1,7
174.0,76.0,0.375,86,30,21,35,27,12,0,0
196.0,89.0,0.125,300,150,68,82,0,20,0,3
188.0,88.0,0.25,329,176,82,71,36,107,1,4
179.0,77.0,0.25,185,78,40,67,18,27,0,0
180.0,75.0,0.125,58,27,9,22,0,10,0,0
188.0,79.0,0.25,580,281,129,170,258,40,0,1
183.0,77.0,0.75,63,31,7,25,1,5,1,0
174.0,70.0,0.5,311,120,82,109,55,31,1,1
183.0,78.0,1.0,545,263,115,167,222,47,0,3
182.0,71.0,0.75,80,42,21,17,3,15,1,0
187.0,75.0,1.0,123,46,32,45,53,19,0,1
189.0,83.0,0.25,196,89,48,59,10,46,3,0
188.0,78.0,0.0,215,81,58,76,2,27,0,0
194.0,89.0,0.25,218,118,47,53,0,12,0,2
180.0,69.0,0.25,191,80,50,61,3,19,0,2
188.0,86.0,0.875,188,74,58,56,56,31,1,2
181.0,81.0,0.375,364,150,74,140,22,23,0,2
175.0,71.0,0.25,330,131,80,119,37,77,3,5
188.0,87.0,0.25,393,135,101,157,0,29,1,3
180.0,73.0,0.25,171,80,34,57,33,16,0,0
179.0,78.0,0.0,103,33,28,42,3,24,2,1
170.0,69.0,0.25,327,168,85,74,76,16,0,1
180.0,77.0,0.0,186,72,46,68,18,32,1,1
193.0,84.0,0.25,359,187,70,102,182,41,0,0
176.0,72.0,0.0,76,32,17,27,8,7,0,0
185.0,90.0,0.0,221,80,60,81,51,28,0,0
180.0,73.0,0.125,82,35,19,28,0,8,1,0
177.0,74.0,0.75,222,84,52,86,27,49,1,3
176.0,77.0,0.75,296,119,76,101,36,28,1,0
179.0,76.0,0.0,237,106,57,74,18,23,1,1
184.0,79.0,0.0,123,48,35,40,5,18,2,0
189.0,90.0,0.25,429,152,114,163,13,79,2,3
179.0,78.0,0.5,259,93,64,102,46,54,1,4
185.0,80.0,0.25,266,111,66,89,13,84,5,3
190.0,75.0,1.0,450,234,116,100,170,43,1,5
183.0,78.0,1.0,358,120,88,150,14,33,1,0
170.0,68.0,0.25,465,241,103,121,43,100,5,4
184.0,82.0,0.5,117,60,23,34,11,34,1,0
183.0,74.0,0.125,49,12,9,28,0,8,0,0
190.0,83.0,0.375,288,133,71,84,70,27,1,0
186.0,75.0,0.75,457,268,107,82,2,34,0,4
183.0,74.0,0.0,104,42,13,49,16,14,0,2
